DATE_NUM,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT,
737713.000000,0.997668,1.010310,0.994051,1.020642,1.006732,1.001119,1.000463,1.003110,1.006149,1.006759,1.019558,1.016218,1.030142,1.003940,0.994433,1.015388,1.004133,1.014475,0.999051,0.976260,1.001397,1.081599,1.007837,1.015940,1.003021,
737714.000000,0.995963,0.998469,1.003963,0.993589,1.009275,0.989683,1.008477,1.004650,1.001188,0.993776,0.996201,1.017540,0.997666,0.999626,1.005212,0.995091,0.993062,0.991806,1.000949,1.002816,0.994837,0.993294,0.995077,0.995706,0.999080,
737715.000000,1.003883,1.014394,0.990951,1.014441,1.005129,1.002085,1.011539,0.995372,1.003688,0.944761,0.988751,1.007398,1.005598,1.005608,0.993039,1.008386,0.992303,0.994872,1.007167,0.998681,0.985340,1.028187,1.000394,1.001990,1.003517,
737716.000000,1.004803,0.980353,0.932098,0.997482,0.993196,0.994712,0.988819,1.000291,1.004899,0.998734,0.990359,0.937798,1.001745,1.018405,1.007977,0.997310,1.010501,0.983678,1.005651,1.007202,1.006264,1.006854,0.987468,1.010594,0.994159,
737719.000000,1.017343,1.019613,0.962384,1.011629,1.014558,1.016298,0.995187,1.013219,0.994830,0.988739,1.014992,1.002506,1.024801,0.989960,1.006475,1.017413,0.998111,1.007423,1.001249,1.013706,1.003891,0.994212,1.004098,0.995086,1.005036,
737720.000000,0.997713,0.996304,1.017942,1.011041,1.003376,1.010205,1.016429,1.001673,1.002112,1.010409,0.997698,1.009217,1.010036,0.992993,0.949583,1.009642,0.961902,0.985119,0.993556,1.026033,0.917130,1.022794,0.968429,1.000329,0.998664,
737721.000000,1.013419,0.982126,1.010386,1.012342,0.989485,1.001528,0.990408,1.008206,0.989334,1.003135,0.994424,1.005418,1.002645,1.014670,0.999699,1.007282,1.019311,1.006380,0.965690,1.006711,1.015444,0.993266,1.002692,1.001810,0.998077,
737722.000000,1.001645,0.999313,1.011894,0.988991,0.986398,0.996610,0.993365,0.998722,0.996676,0.997693,1.009861,0.981524,0.999281,0.999451,0.983987,0.959291,0.996500,1.019673,0.991118,1.014553,0.994476,0.986723,1.028251,0.995072,0.997905,
737723.000000,1.012316,1.015892,0.986301,1.043930,1.010558,1.009270,1.004913,1.015068,1.002095,1.010218,1.080988,1.006667,1.007998,0.984252,0.992807,1.025943,0.996125,1.005645,0.993661,0.987659,0.992391,1.001636,1.009594,0.996533,0.999496,
737726.000000,1.010017,1.002706,1.003090,1.002362,1.005757,0.998399,0.997174,1.016431,1.010325,1.003913,1.005314,1.006467,1.003809,0.996651,0.985458,1.017882,0.999271,1.024586,0.999230,1.001866,0.991337,1.008738,1.011189,0.996853,1.001512,
737727.000000,0.976872,0.990217,1.023615,1.009067,1.001484,0.997046,0.991956,0.999495,0.988767,0.984188,0.992600,0.999535,0.999368,0.997013,1.004380,0.998521,1.035280,0.990568,0.982719,1.000972,0.997138,1.021210,0.987711,1.000166,0.982637,
737728.000000,0.999877,1.005536,0.991775,0.992995,1.006774,0.985017,1.000927,0.991592,1.008969,1.010686,1.004615,1.028811,0.994463,1.009923,1.022168,0.997393,1.013161,1.012462,1.010193,1.010841,1.006593,1.009949,1.009120,1.010467,1.008109,
737729.000000,1.022610,0.993309,0.982229,0.981901,0.998949,0.998109,1.002469,0.988740,0.992973,0.988761,0.998763,0.993978,0.993558,1.009084,0.999035,0.979925,1.005103,0.991425,0.992904,0.996558,1.009863,0.991758,0.997824,0.994245,0.992887,
737730.000000,1.028381,1.015859,1.015534,1.048549,0.989897,1.000603,1.021783,1.018793,1.011766,1.013460,0.999646,0.993638,1.023055,0.990263,0.985969,1.030911,0.980152,1.002442,0.995868,0.994860,0.997406,0.998061,1.011573,0.998346,1.003070,
737733.000000,1.006567,1.004029,1.017092,1.016818,1.009568,1.046123,1.001281,1.011408,0.989804,1.015790,1.019466,0.992607,1.007981,0.985900,0.972775,1.028279,0.987756,1.005775,1.007625,0.961250,0.996022,0.996194,0.989057,0.991718,0.999575,
737734.000000,0.998563,0.992894,1.020508,0.996256,1.005897,1.003044,0.988941,0.994406,0.988422,1.001598,0.998959,1.001459,1.002174,0.986451,1.018658,1.002116,0.988319,0.999377,1.000223,0.998572,1.008218,0.996219,0.985583,0.993820,1.010972,
737735.000000,1.000428,1.007746,0.988557,0.993988,1.010679,0.983270,0.998631,0.998994,1.007795,1.006454,1.006377,1.004140,1.001549,1.007249,1.010407,0.992754,1.003980,0.997231,0.995550,1.011943,1.008227,1.000879,1.002268,1.010588,1.005384,
